,date,text
34,2019-12-29 12:10:09+00:00,Demandons à KFC de faire du poulet frit végan en France ! http://petafr.vg/h5 @PETA_France
35,2019-12-29 11:57:11+00:00,« Noyeux Joël »
36,2019-12-29 11:56:19+00:00,« Tu a gros grossis non ? Tu es enceintes ? » ah non j’ai juste bien mangé ... 
37,2019-12-29 08:08:53+00:00,Cheaters @KFC_India @kfc @yumbrands : your 8 days to share refund &amp; penalty policy. See you in court. @DavidNovakOGO will be party. @mokshc @kfcjamaica @KFCAustralia @kfc_canada @KFCINDONESIA @KFCFrance @KFCSA @kfcarabia @KFC_UKI @KFC_SG @KFC_jp @KFCcl @KFCNassau @kfc_stvincent
38,2019-12-29 08:06:55+00:00,A boy in France once told me KFC is seen as slightly upscale there compared to other chain restaurants and I screamed 
39,2019-12-29 05:14:35+00:00,Demandons à KFC de faire du poulet frit végan en France ! http://petafr.vg/h5 @PETA_France
40,2019-12-29 03:34:17+00:00,Nique @KFCFrance j'ai mange chez vous toutz mon enfance en panssant que c'etait halal
41,2019-12-28 20:19:16+00:00,Sympa la ptite attention @KFCFrance 
42,2019-12-28 20:17:58+00:00,J’ai jamais mis les pieds chez KFC.
43,2019-12-28 20:04:01+00:00,Boxmaster.
44,2019-12-28 19:58:52+00:00,Le double stacker bacon de @KFCFrance meilleur sandwich du monde
45,2019-12-28 18:29:16+00:00,@Ron404 à voté @KFCFrance voilà
46,2019-12-28 17:34:44+00:00,@KFCFrance Merci les bros ! C'était délicieux !!! 
47,2019-12-28 16:58:01+00:00, j'ai signé et vous !? Demandons à KFC de faire du poulet frit végan en France ! http://petafr.vg/h5 @PETA_France
48,2019-12-28 16:22:33+00:00,Demandons à KFC de faire du poulet frit végan en France ! http://petafr.vg/h5 @PETA_France
49,2019-12-28 16:16:42+00:00,Demandons à KFC de faire du poulet frit végan en France ! http://petafr.vg/h5 @PETA_France
50,2019-12-28 15:48:14+00:00,Demandons à KFC de faire du poulet frit végan en France ! http://petafr.vg/h5 @PETA_France
51,2019-12-28 15:38:35+00:00,Faudrait tout simplement boycotter KFC. Ce n’est pas en faisant du veggie qu’ils arrêterons les poulets et les horreurs!
52,2019-12-28 15:10:46+00:00,Si on pouvait éviter d'aller chez KFC... Tout court.
53,2019-12-28 15:09:34+00:00,plutot a KFC de fermer !!
54,2019-12-28 15:09:00+00:00,"En 2020 élargissons l'offre végan PARTOUT demandez à KFC de proposer du ""poulet"" fri végan en France ! https://secure.petafrance.com/page/49625/petition/1?utm_source=PETA%20FR::Twitter&amp;utm_medium=Social&amp;utm_campaign=1219::veg::PETA%20FR::Twitter::KFC%20AA::::tweet"
55,2019-12-28 14:56:38+00:00,"I'm at KFC - @kfcfrance in Houssen, Alsace "
56,2019-12-28 13:46:37+00:00,en avance sur vous @KFCFrance 
57,2019-12-28 12:57:27+00:00,Donc c’est ça le WRAPPER de @KFCFrance RÉALITÉ/ PUBLICITÉ 
58,2019-12-28 09:48:47+00:00,Cheaters @KFC_India @kfc @yumbrands : your 9 days to share refund &amp; penalty policy. See you in court. @DavidNovakOGO will be party. @mokshc @kfcjamaica @KFCAustralia @kfc_canada @KFCINDONESIA @KFCFrance @KFCSA @kfcarabia @KFC_UKI @KFC_SG @KFC_jp @KFCcl @KFCNassau @kfc_stvincent
59,2019-12-28 08:15:01+00:00,@KFCFrance valide ce tweet 
60,2019-12-28 05:29:01+00:00,Ya entendi. Y yo que iva presumir mi Frances. Como ta le buuu? Buenas noches amigita Me despido saludos a todos.
61,2019-12-28 05:19:48+00:00,Una flor para una princesa. Saludos mi amigita linda de France Moni eres de Francia?
62,2019-12-27 20:28:38+00:00,J’appelle pas ça un restaurant (ce qui n’empêche pas que je sois content pour toi pour ton contrat et normal que tu défendes ton employeur )
63,2019-12-27 19:38:43+00:00,J’ai déjà rigoler à m’étouffer mais là prêt à mourir. Et regarde comment sont élevés les poulets en batterie
64,2019-12-27 19:12:17+00:00,Du ice tea au départ et finalement ba non c'est bcp d'eau avec un peu de ice tea et ce avec chaque boisson #KFCfrance 
65,2019-12-27 16:02:19+00:00,"@KFCFrance bonjour KFC France, merci d'avoir inventé le burger a la raclette je vous aime de tout mon coeur c'est la meilleure chose que j'ai jamais mangé"
66,2019-12-27 15:06:18+00:00,"c l'histoire la plus éclatée que j'ai jamais écrite, ça s'voit jss pas écrivain, bisous"
67,2019-12-27 15:06:00+00:00,"Ah oui et Diego Euuuuh Diego il est entrain de s'taper une des poussines qu'il y a ici vous voyez tout se finit bien au final, sauf si @KFCFrance retrouve ma trace, mais chut ils ne savent pas là où j'suis :)"
68,2019-12-27 13:10:10+00:00,What does one call this in France?
69,2019-12-27 12:29:20+00:00,BONJOUR. PASSE UN BON VENDREDI.... LE MONIQUE DE FRANCE 
70,2019-12-27 11:43:20+00:00,@KFCFrance @BurgerKingFR @McDoFr_Newsroom fête du halal svp réaliser mon rêve 
71,2019-12-27 11:40:08+00:00,Les gagnants seront annoncés un jour ?
72,2019-12-27 11:17:35+00:00,Bonjour @KFCFrance . je me suis permis de libérer le trottoir de vos poubelles. Il n'est pas plus large qu'un piéton #trottoirpourri . obligation donc de marcher sur la route #saintherblain
73,2019-12-27 10:26:20+00:00,"Je viens d'avoir une idée de génie. Étant (presque) seul au bureau, vu que la magie de Noël n'existe pas et qu'ils ne vont pas me l'offrir, je vais me faire livrer un bucket de @KFCFrance. "
74,2019-12-27 05:59:52+00:00,Cheaters @KFC_India @kfc @yumbrands : your 10 days to share refund &amp; penalty policy. See you in court. @DavidNovakOGO will be party. @mokshc @kfcjamaica @KFCAustralia @kfc_canada @KFCINDONESIA @KFCFrance @KFCSA @kfcarabia @KFC_UKI @KFC_SG @KFC_jp @KFCcl @KFCNassau @kfc_stvincent
75,2019-12-27 03:08:56+00:00,"Please help me getting a response from them. Talk to your global HQ. I have been trying to get a response since 15 days, @KFC_India won't respond appropriately. Till then, it will continue."
76,2019-12-27 00:29:01+00:00,Sorry but this account is for KFC Canada. Please reach out to the account of the country you are trying to contact.
77,2019-12-27 00:28:27+00:00,Sorry but this account is for KFC Canada. Please reach out to the account of the country you are trying to contact.
78,2019-12-26 23:32:23+00:00,"""Bon bah y'aura pas de volaille cette année""... C'est la phrase la plus triste qui aurait pu être prononcée"
79,2019-12-26 22:30:53+00:00,Avec le code poloshow 
80,2019-12-26 22:21:37+00:00,On a 30% si on vient de ta part ?
81,2019-12-26 22:16:25+00:00," Ils devraient se démarquer des autres, ca fait plaisirs de voir que ya encore des fast-food qui font pas que du ""réchauffé"""
82,2019-12-26 22:11:39+00:00,Bah écoute c'est bon a savoir ça 
83,2019-12-26 22:07:33+00:00,Pas trop maison j'espère 
84,2019-12-26 22:05:08+00:00,il semble. je vais demander confirmation.
85,2019-12-26 22:05:03+00:00,"On en a même à Nantes, c'est dire !"
86,2019-12-26 22:04:36+00:00,Produit fait maison à KFC ? Tu m'en apprends une bonne pour le coup!
87,2019-12-26 22:04:29+00:00,HEIN?! SÉRIEUX?!
88,2019-12-26 22:02:24+00:00,la rumeur veut qu'il y en ait un qui ouvre bientôt à Bellecour
89,2019-12-26 22:01:17+00:00," étonnant. ça pousse comme des petits pains en Région Parisienne. étonnant qu'il n'y en ait aucun en métropole de Lyon. même à Nancy, ils en ont ouvert un !"
90,2019-12-26 22:01:00+00:00,J'en suis ravi 
91,2019-12-26 22:00:36+00:00,Je te merde
92,2019-12-26 22:00:21+00:00,T'as qu'à habiter dans un bon bled aussi xD
93,2019-12-26 21:59:54+00:00,On en a pas à Lyon 
94,2019-12-26 21:55:43+00:00,"les Onions rings sont super bons en effet. Il faut faire un mixte. Après, si on parle de burgers de boeuf, je préfère @FiveGuysFrance même si c'est un chouia plus cher"
95,2019-12-26 21:54:46+00:00,"Beurk. Moi c’est Burger King, et leurs ognon rings "
96,2019-12-26 21:53:58+00:00,"moi je suis plus @KFCFrance même si diététiquement c'est une catastrophe également mais il faut bien avoir quelques vices et le poulet frit en est un me concernant (n'ayant pas l'alcool, plus le tabac, etc...)"
97,2019-12-26 19:53:26+00:00,Moni apoco eres Frances? 
98,2019-12-26 18:57:49+00:00,Mercii
99,2019-12-26 18:07:42+00:00,Manges bien !
100,2019-12-26 18:05:16+00:00,Ont a fait KFC puis McDo ont a laisser tomber et enfin Burger King la çà va y’a juste les sauces à part...mais ça revient 7 euros plus cher qu’en France pour 5 menus...
101,2019-12-26 18:03:42+00:00,Merci @KFCFrance de nous nourrir gratuitement (ft @moonhoshil )
102,2019-12-26 15:18:00+00:00,ici comme nous ne sommes pas en France on dit PFK (poulet frit Ken...) mais c'est aussi immangeable qu'en France.
103,2019-12-26 10:59:48+00:00,"Merci @ubereats_fr @KFC_france et @NetflixFR. Je vais pouvoir profiter de mon code promo en regardant la saison 2 de You thanks very much, vous savez pas comment vous illuminez ma vie en ce moment, j'ai besoin que de positif "
104,2019-12-26 10:03:45+00:00,"Deux jours avant de partir au ski, bonne intoxication alimentaire. Merci @KFCFrance Laval "
105,2019-12-26 08:30:08+00:00,They don't have a refund policy on site. That's why. Will definitely sue them.
106,2019-12-26 07:08:56+00:00,"Yes Sir, sue them. These big players don't follow the process .. make it lesson learned for them. I wonder if they dont have return policy on their website."
107,2019-12-26 05:28:43+00:00,BONNE NUIT... LE MONIQUE DE FRANCE 
108,2019-12-26 04:17:10+00:00,MERCI BEAUCOUP. LE MONIQUE DE FRANCE 
109,2019-12-25 23:27:16+00:00,"Good then I should eat some KFC chicken in Egypt I feel you about fast food, I feel the same... Well, I never saw any events in KFC France before, so I was a bit surprised to see that for Xmas!"
110,2019-12-25 22:32:44+00:00,Juste une question @KFCFrance : les tacos sont ils encore à la carte??? 
111,2019-12-25 22:10:19+00:00,"Bonne nouvelle du soir ? @KFCFrance , ces gigas bros, il m'offre un giga bucket pour 4 ! J'vais mourir avec ça, mais j'aurais bien profité !"
112,2019-12-25 20:04:50+00:00,Mdrrrr
113,2019-12-25 19:51:39+00:00,Quand j’ai demandé ce sentais si bon à ma gm et qu’elle m’a dit que c’était les restes pour le chien
114,2019-12-25 18:59:25+00:00, 
115,2019-12-25 18:53:21+00:00,Tu m'as fumé 
116,2019-12-25 17:58:19+00:00,@KFCFrance
117,2019-12-25 17:17:01+00:00,"having been to kfc in France in years tbh but it should be ""sauce"""
118,2019-12-25 15:58:42+00:00,"Cheaters @KFC_India @kfc @yumbrands refund after 61 days &amp; still not sharing refund &amp; penalty policy. Shll I sue? @DavidNovakOGO, @mokshc, @kfcjamaica @KFCAustralia @kfc_canada @KFCINDONESIA @KFCFrance @KFCSA @kfcarabia @KFC_UKI @KFC_SG @KFC_jp @KFCcl @KFCNassau @kfc_stvincent https://twitter.com/YayawarVagabond/status/1206824585552777216"
119,2019-12-25 15:34:34+00:00,"""Ces chaussettes là, je te laisserai pas les laver !"""
120,2019-12-25 15:14:45+00:00,Merry Christmas @kfcgaming @kfc @KFCFrance (pls give me free chicken)
121,2019-12-25 14:55:02+00:00,@KFCFrance un bon KFC pour digérer devant une bonne série netflix 
122,2019-12-25 14:48:00+00:00,"Dans la partie 3 j'ai envoyé des messages aux excellents @LesProLaitiers les seuls qui répondent allez les follow carrément après il y a @KFCFrance qui ont aimé mon message après ya eu @McDoFr_Newsroom, @Snap et encore @NetflixFR"
123,2019-12-25 13:15:13+00:00,BONJOUR. JOYEUX NOËL ... LE MONIQUE DE FRANCE 
124,2019-12-25 06:39:00+00:00,Ah beh non je suis con c’est finit noël du coup bah niquez vos mères @KFCFrance je vous hais 
125,2019-12-25 06:36:05+00:00,Je rigolais quand je disais « faites les morts » @KFCFrance répondez moi là https://twitter.com/cXamaXwsh/status/1207985492031102977
126,2019-12-24 23:30:47+00:00,@kfc @KFCFrance
127,2019-12-24 22:18:29+00:00,Et pour info votre couvercle en carton sur les boisson c est dégueulasse tellement la sensation est mauvaise ! Du coup j opte pour les pailles de chez @KFCFrance
128,2019-12-24 20:55:32+00:00,"""J'ai vu une vidéo YouTube, le gars c'est un spécialiste, il prévoit la fin des banques, faut vite faire quelque chose, ça va être un désastre monétaire"" -Mon père qui dit ça a tous les membres de ma famille, un par un..."
129,2019-12-24 20:39:02+00:00,On m'enlèvera pas de la tête que c'est pas normal que les fast-foods ne proposent pas de turbot... Cc @McDoFr_Newsroom @Quick__france @KFCFrance @BurgerKingFR
130,2019-12-24 20:15:35+00:00,« Alors ce permis ? »
131,2019-12-24 19:42:19+00:00,bon réveillon enculé
132,2019-12-24 19:38:25+00:00,t’es qui ?
133,2019-12-24 19:32:57+00:00,KFC in France doesn’t have mashed potatoes and I’m bummed. Got a side salad instead 
134,2019-12-24 19:31:20+00:00,vous régalez @KFCFrance 
135,2019-12-24 19:21:25+00:00,Oue bg
136,2019-12-24 19:18:44+00:00,Dm
137,2019-12-24 19:17:39+00:00,On martage??
138,2019-12-24 19:07:20+00:00,Tu lveux ?
139,2019-12-24 19:03:36+00:00,Viens on partage ?
140,2019-12-24 19:01:22+00:00,Bahahahaha merci les bros @KFCFrance 
141,2019-12-24 18:58:50+00:00,@KFCFrance Omggg mercii je vais me mettre bien vous gérez de fouuuu 
142,2019-12-24 17:36:19+00:00,J'aurais bien voulu fêter le réveillon le 24 a la japonaise mais fermé super 
143,2019-12-24 17:32:11+00:00,@KFCFrance @NatashaCBC_RC On peut suivre aussi concours_mytho ?
144,2019-12-24 16:56:33+00:00,"Le "" t'as vu ton cousin il a eu bac mention TB et toi? "" malaise. .."
145,2019-12-24 16:30:40+00:00,"Ce soir, #réveillon ! Vous avez peut-être déjà entendu dire que les japonais mangeaient @KFCFrance pour #Noël, mais saviez vous pourquoi ? https://www.yatta-fanzine.fr/pourquoi-les-japonais-mangent-ils-kfc-a-noel/"
146,2019-12-24 15:43:25+00:00,Comment ça parles mal de belle maman 
147,2019-12-24 15:18:56+00:00,
148,2019-12-24 14:49:16+00:00,Ma mère est grave chaude depuis qu'elle a vu la publi ! @KFCFrance ou est mon code ?? 
149,2019-12-24 14:42:41+00:00,«Ba alors Dede t’as une descente j’aimerais pas la remonter en vélo dit donc »
150,2019-12-24 14:28:46+00:00,mcdo is better than kfc ok
151,2019-12-24 14:28:34+00:00,moi mcdo...
152,2019-12-24 14:27:33+00:00,Mardi c'est @KFCFrance 
153,2019-12-24 12:58:42+00:00,"Phrase sorti par ma grand mère il y a quelques années : tiens en faite, vous connaissez You****,je connaissait pas, c'est vachement bien ce qu'on fait aujourd'hui. (je parle pas de YouTube hein)"
154,2019-12-24 12:46:14+00:00,
155,2019-12-24 12:28:03+00:00,Bon du coup les collègues je veut mon code moi j'ai faim
156,2019-12-24 12:20:51+00:00,Achete toi une vie casse toi
157,2019-12-24 12:18:04+00:00,Elle est bien ta vie mais pourquoi tu ma mentionné ?
158,2019-12-24 12:10:22+00:00,"""NOUS À NOËL QUAND NOUS ÉTIONS PETITS, NOUS AVIONS UNE ORANGE ET NOUS ÉTIONS TRÈS CONTENTS !"""
159,2019-12-24 11:50:22+00:00,"@KFCFrance J'ai réussi à négocier un réveillon 100% KFC avec ma copine, et tous les restaurants autours de chez moi ferment à 16h Je vais devoir me passer de poulet frit pour Noël "
160,2019-12-24 11:44:37+00:00,"""Arrêtez de vous empiffrer de cacahuètes les enfants, vous n'aurez plus faim après."""
161,2019-12-24 11:37:15+00:00,Pas France du coup
162,2019-12-24 11:28:20+00:00,"Putain de @KFCFrance de merde même pas capable de donner des sacs un minimum solide, tu prends à emporter le sac de merde il se casse la gueule et toute ta bouffe avec."
163,2019-12-24 11:10:43+00:00,« J’ai pas eu le temps de préparer un repas venez on va au kfc »
164,2019-12-24 10:58:44+00:00,"""On devrait faire ça plus souvent."""
165,2019-12-24 10:38:50+00:00,Joyeux Noël
166,2019-12-24 10:25:24+00:00,"""Si il n'y a pas de poulet, il n'y a pas de dîner"""
167,2019-12-24 10:22:54+00:00,Moi c'est quand mes grands parents ont trouvé une capote pleine dans ma chambre hier soir 
168,2019-12-24 10:16:58+00:00,J ai faim
169,2019-12-24 10:13:51+00:00,"""Alors, t'as une petite amie ?"" je crois que j'y ai droit au moins une fois par an ça fait mal"
170,2019-12-24 10:12:50+00:00,"La pire phrase que j'ai pu entendre c'est surement ""mange tes brocolis, tu n'aura pas de déssert"" ..."
171,2019-12-24 08:21:28+00:00,La queue du @KFCFrance de Noël à Tokyo (Ogikubo) 
172,2019-12-24 01:33:28+00:00,"Bon @KFCFrance je voulais me taper un bucket après ma crevaisons mais aucun restau n'est ouvert, jsuis dans le bad"
173,2019-12-23 23:29:09+00:00,@KFCFrance Vous voyez ? Et il continue comme sa toute la journée. Vous attendez quoi pour en ouvrir 1 ? Juste un seul ? Un restau KFC Halal allez !
174,2019-12-23 21:34:56+00:00,"Tu m’étonnes qu’ils ont enlevé ça en France, un jour au KFC j’ai vue une daronne remplir son pack de 6 "
175,2019-12-23 21:01:12+00:00,@KFCFrance c'est du poulet reconstitué
176,2019-12-23 20:36:42+00:00,et macdo encore pire
177,2019-12-23 20:31:47+00:00,Oh @KFCFrance vos pailles en carton elles dégoutent
178,2019-12-23 18:55:30+00:00,"En tout cas j'ai pu test KFC à Tokyo et c'est indéniable, en France comme au Japon ça reste le pire fast food jamais inventé"
179,2019-12-23 18:55:24+00:00,Normalement interdit en france même chez KFC et c'est pas vraiment couper à l'eau c'est pas du coca avec de l'eau mais du sirop et de l'eau
180,2019-12-23 17:56:17+00:00,"In France we don't have KFC for christmas, we have a fancy dinner~ (And honestly I prefer our way to celebrate it )"
181,2019-12-23 13:05:10+00:00,"Cheaters @KFC_India @kfc @yumbrands why don't you respond to questions asked? What's your refund &amp; penalty policy? @DavidNovakOGO, @mokshc, @kfcjamaica @KFCAustralia @kfc_canada @KFCINDONESIA @KFCFrance @KFCSA @kfcarabia @KFC_UKI @KFC_SG @KFC_jp @KFCcl @KFCNassau @kfc_stvincent"
182,2019-12-23 12:50:10+00:00,@ubereats_fr ah que cela fait du bien de pouvoir utiliser ce service. A notre arrivée à @VilledeBussy cela n’était pas encore disponible. ^_^ On a commandé @KFCFrance pour ce midi. Yeahhh!!! #torcy =&gt; #bussystgeorges
183,2019-12-23 12:05:45+00:00,Allez à ce soir dans le polo show avec @polosurnrj 
184,2019-12-23 11:09:45+00:00,Bien vu
185,2019-12-23 10:08:56+00:00,Bon courage à toi en espérant que sa soit mieux que MC do
186,2019-12-23 09:43:28+00:00,@KFCFrance C’est pour quand le Halal dans certains de vos restau ? Mon pote @_Shamixx est à Londres et vraiment il se met bien là !
187,2019-12-23 09:40:13+00:00,Trop mim's 
188,2019-12-23 08:07:36+00:00,"Ok alors deja retourne te branler sur tes loli p'tite solope, ensuite bien parler et bien écrire c'est la base pour se faire compendre par tous si tu eet incapable de le faire tu ne merite aucume attention juste du mepris"
189,2019-12-23 08:05:46+00:00,"Tower Original chicken sandwich at the KFC here in France..EYE will find you, and EYE will be inside of you amen "
190,2019-12-23 07:40:35+00:00,Il faut absolument mettre la @Mairie10Paris et @ACORDEBARD devant leurs responsabilités. Cet exemple devrait être la référence et s’appliquer également et prioritairement dans les quartiers Gare du Nord et Barbès/Chapelle !
191,2019-12-23 05:17:06+00:00,Qui a fait ce poulet ? Ça doit pas être @KFCFrance humour 95 
192,2019-12-22 20:38:03+00:00,3- Il a fait de la pub pour des fast food. Il a fait de la pub pour KFC au Japon et plus récemment une campagne avec McDonald’s en France 
193,2019-12-22 20:33:56+00:00, 
194,2019-12-22 20:25:05+00:00,32 hot wings au lieu de 33? Pour un bucket plus cher? Sans sauce ? Pourquoi ??? @KFCFrance
195,2019-12-22 19:36:23+00:00,Allez ! On croise les doigts #KFC #Bucket #UberEats #Noel
196,2019-12-22 17:56:31+00:00,@KFCFrance c’est comment les mecs un petit geste commercial nn?
197,2019-12-22 17:46:51+00:00,"@KFCFrance Bonjour, est ce que vous auriez la gentillesse de mettre un kfc dans le 8ème arrondissement de Marseille s'il vous plaît ?"
198,2019-12-22 16:07:39+00:00,@ubereats_fr je passe une commande chez @KFCFrance la commande arrive avec la boisson renversée frites trempé et sandwich aussi boisson à moitié rempli du coup je fais trois signalement pour pouvoir envoyé plusieurs photos et on ose me dire sue la photo envoyé n’est pas clair ?
199,2019-12-22 15:17:38+00:00,Nickel Ptetre raclette en plus 
200,2019-12-22 14:37:29+00:00,
201,2019-12-22 13:57:05+00:00,
202,2019-12-22 13:56:45+00:00,"Librairie, confiserie, cinéma, spécialités alsaciennes et italiennes...Quand je repense au bd de Denain des années 50 !"
203,2019-12-22 13:49:29+00:00,"@RemiFeraud a commencé son travail de sape avec la salle de shoot. Le but est d’évacuer tous les migrants et les sdf loin du canal saint Martin et d’ailleurs, dans le 10eme, pour concentrer les pb Gare du Nord. Il le déclare régulièrement avec ses mots du monde ancien "
204,2019-12-22 13:06:08+00:00,Un KFC pour Noel ???? Mangez sainement les gars ca vous fera plus de bien que de manger ces trucs la
205,2019-12-22 12:16:41+00:00,Mdr ça fait bim bam boum
206,2019-12-22 11:54:36+00:00,Comme tous les dimanches y'a plus de chez @BurgerKingFR donc on a complété chez @KFCFrance par contre il manque encore une fois un truc LE JOUET du petit @BurgerKingFR Mandelieu équipe en bois... – at Burger King Mandelieu-la-Napoule
207,2019-12-22 11:52:47+00:00,Ca me dit xD
208,2019-12-22 11:50:18+00:00,@Glopglop_ oh et bien on va aller manger KFC 
209,2019-12-22 11:41:14+00:00,@ITruelyLoveMe ça te dit ?
210,2019-12-22 11:40:21+00:00,On dois avoir la même mere
211,2019-12-22 11:39:41+00:00,Ah ouais merde
212,2019-12-22 11:33:12+00:00,Offrez lui un bucket gratuit c'est votre plus fidel client
213,2019-12-22 11:33:01+00:00,elle change d'avis rapidement 
214,2019-12-22 10:36:01+00:00,"bahahahaha je meurs, le daron qui répond en pleine réunion"
215,2019-12-22 10:09:09+00:00,Cette année je vais passer Noël à Collonges à la frontière Suisse. Sauf que je pensais que ça n’existait pas là bas. Et bons vous êtes partout
216,2019-12-22 10:08:29+00:00,@IronsQRB chaud!
217,2019-12-22 10:06:33+00:00,"Merci pour cet exemple éloquent ! Comme vous le dites, tout est question de volonté."
218,2019-12-22 09:54:02+00:00,Elle devrait demander a ses collègues du 11e comment s'y prendre. Quand on veut on peut.
219,2019-12-22 09:51:46+00:00,Mdrrr ça me fait délire !
220,2019-12-22 09:41:59+00:00,@Oexos
221,2019-12-22 09:20:20+00:00,Ah !
222,2019-12-22 09:15:41+00:00,Chaud et demi 
223,2019-12-22 08:15:45+00:00,Cache son numéro de tel
224,2019-12-22 08:15:36+00:00,Ça reste très explicite 
